response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0531,0.0001,0.0000,0.0000,0.0528,0.0001,200,1.1690
0.0388,0.0002,0.0000,0.0001,0.0384,0.0001,200,1.1920
0.0443,0.0002,0.0000,0.0001,0.0439,0.0001,200,1.1890
0.0406,0.0002,0.0000,0.0001,0.0403,0.0001,200,1.1961
0.0383,0.0002,0.0000,0.0001,0.0380,0.0001,200,1.1997
0.0373,0.0002,0.0000,0.0000,0.0369,0.0001,200,1.2080
0.0460,0.0002,0.0000,0.0001,0.0456,0.0001,200,1.2134
0.0406,0.0001,0.0000,0.0001,0.0403,0.0001,200,1.2222
0.0450,0.0002,0.0000,0.0000,0.0447,0.0001,200,1.2199
0.0368,0.0001,0.0000,0.0000,0.0365,0.0001,200,1.2380
0.0461,0.0002,0.0000,0.0001,0.0458,0.0001,200,1.2308
0.0483,0.0002,0.0000,0.0001,0.0479,0.0001,200,1.2333
0.0456,0.0002,0.0000,0.0001,0.0452,0.0000,200,1.2368
0.0453,0.0002,0.0000,0.0000,0.0449,0.0001,200,1.2453
0.0372,0.0002,0.0000,0.0001,0.0368,0.0001,200,1.2594
0.0451,0.0001,0.0000,0.0000,0.0448,0.0001,200,1.2629
0.0468,0.0001,0.0000,0.0000,0.0465,0.0001,200,1.2649
0.0346,0.0001,0.0000,0.0000,0.0344,0.0001,200,1.2823
0.0374,0.0002,0.0000,0.0000,0.0371,0.0001,200,1.2816
0.0481,0.0002,0.0000,0.0001,0.0477,0.0001,200,1.2748
0.0507,0.0001,0.0000,0.0000,0.0504,0.0001,200,1.2769
0.0384,0.0002,0.0000,0.0001,0.0381,0.0001,200,1.2906
0.0379,0.0002,0.0000,0.0001,0.0375,0.0001,200,1.2966
0.0420,0.0001,0.0000,0.0000,0.0415,0.0002,200,1.3080
0.0358,0.0002,0.0000,0.0001,0.0354,0.0001,200,1.3170
0.0424,0.0002,0.0000,0.0001,0.0420,0.0001,200,1.3117
0.0439,0.0001,0.0000,0.0000,0.0435,0.0002,200,1.3191
0.0377,0.0002,0.0000,0.0001,0.0373,0.0001,200,1.3276
0.0409,0.0001,0.0000,0.0000,0.0407,0.0001,200,1.3290
0.0488,0.0002,0.0000,0.0001,0.0484,0.0001,200,1.3230
0.0399,0.0002,0.0000,0.0001,0.0395,0.0001,200,1.3345
0.0390,0.0002,0.0000,0.0001,0.0386,0.0001,200,1.3499
0.0364,0.0002,0.0000,0.0000,0.0360,0.0000,200,1.3528
0.0408,0.0001,0.0000,0.0000,0.0405,0.0001,200,1.3541
0.0348,0.0002,0.0000,0.0001,0.0344,0.0001,200,1.3630
0.0390,0.0002,0.0000,0.0000,0.0386,0.0001,200,1.3653
0.0371,0.0001,0.0000,0.0000,0.0368,0.0001,200,1.3717
0.0455,0.0002,0.0000,0.0001,0.0451,0.0001,200,1.3699
0.0400,0.0002,0.0000,0.0001,0.0396,0.0002,200,1.3890
0.0548,0.0002,0.0000,0.0000,0.0545,0.0001,200,1.3744
0.0363,0.0002,0.0000,0.0001,0.0359,0.0001,200,1.3949
0.0441,0.0001,0.0000,0.0000,0.0439,0.0001,200,1.3891
0.0409,0.0001,0.0000,0.0001,0.0406,0.0001,200,1.3978
0.0385,0.0002,0.0000,0.0000,0.0381,0.0001,200,1.4043
0.0379,0.0002,0.0000,0.0000,0.0376,0.0001,200,1.4155
0.0446,0.0002,0.0000,0.0001,0.0442,0.0001,200,1.4089
0.0364,0.0001,0.0000,0.0000,0.0360,0.0001,200,1.4312
0.0389,0.0001,0.0000,0.0000,0.0387,0.0000,200,1.4292
0.0459,0.0002,0.0000,0.0000,0.0454,0.0001,200,1.4290
